Store,Country,State,City,Category,Clothing Type,Store Number,Postal Code,Store Type,Store Open Date,Selling Area Size (sq ft),Store Manager,Manager ID,Store Address,Contact Information,Operating Hours,Staff Count,Parking Availability,Security Features,Order ID,Order Date,Month,Customer ID,Customer Name,Product ID,Price,Quantity,Sales Profit
Zudio,India,Karnataka,Jalna,Women,Dresses,30,411084,Owned,04-06-2022,950,Lori Hill,M77,"PSC 4147, Box 1289 APO AA 19737",(014)392-4112x860,10 AM - 7 PM,17,Not Available,Alarm,88240,06-11-2024,November,233084,Michele Ochoa,354,1958,5,3916
Zudio,India,Gujarat,Patna,Kids,Skirts,48,404562,Owned,19-12-2020,1200,Deborah Jackson,M89,"0189 Anthony Stravenue Apt. 861 Maryhaven, WV 77722",-3576,10 AM - 9 PM,6,Not Available,Alarm,78145,17-06-2024,June,926472,Daniel Jimenez,741,2078,1,831.2
Zudio,India,Uttar Pradesh,Kolkata,Men,Hoodies,97,437773,Rented,04-09-2023,1100,Adam Anderson,M71,Unit 8794 Box 3846 DPO AP 31354,523.732.1176x07696,10 AM - 9 PM,18,Not Available,CCTV,33363,17-08-2024,August,853255,Steven Davis,607,1445,2,1156
Zudio,India,West Bengal,Kolkata,Women,Dresses,93,431725,Owned,11-04-2024,1400,Anthony Smith,M40,"473 Wise Summit Lake Carrie, IN 32156",+1-846-657-3934x68953,11 AM - 8 PM,13,Not Available,CCTV,46682,27-03-2024,March,106146,Derek Orozco,991,2469,6,5925.6
Zudio,India,West Bengal,Guwahati,Men,Dresses,51,415370,Owned,29-05-2022,1400,Matthew Romero,M24,"0557 Cameron Trail Apt. 690 South Samuel, TX 36835",(336)147-6341,10 AM - 7 PM,19,Not Available,"CCTV, Alarm",58242,08-04-2024,April,264070,Victor Arnold,479,1105,6,2652
Zudio,India,West Bengal,Nashik,Kids,Jackets,71,417269,Owned,17-06-2021,800,Chelsea Hill,M14,"3318 Carter Burgs Apt. 327 North Richardshire, CT 47189",-5971,9 AM - 8 PM,14,Available,CCTV,78800,25-04-2024,April,326466,James Bennett,295,2206,4,3529.6
Zudio,India,Maharashtra,Lucknow,Kids,Jackets,44,439184,Rented,29-04-2021,800,Martin Hernandez,M91,"461 Shannon View Apt. 903 Matthewstown, ID 92836",+1-886-886-9185x9650,11 AM - 8 PM,6,Available,CCTV,43329,19-06-2024,June,724817,Benjamin Barrett,222,2848,4,4556.8
Zudio,India,West Bengal,Hyderabad,Women,Tops,74,417964,Owned,16-11-2021,950,Denise Molina,M54,"75265 Taylor Stream Suite 679 Juarezview, ID 78431",(646)899-9850,10 AM - 9 PM,18,Available,CCTV,23062,11-06-2024,June,870587,Matthew Cervantes,595,1694,8,5420.8
Zudio,India,Karnataka,Ahmedabad,Men,Shoes,71,414510,Rented,23-11-2023,1400,Curtis Henson,M87,"7868 Bradley Key Suite 443 New Tracyfort, WV 43313",(337)998-4800x283,10 AM - 7 PM,5,Available,"CCTV, Alarm",72223,24-01-2024,January,790306,Shelley Lopez,243,2024,1,809.6
Zudio,India,Karnataka,Hyderabad,Kids,Jeans,26,411577,Rented,02-09-2021,1400,Danielle Ballard,M82,Unit 4120 Box 3354 DPO AP 74324,(315)462-2864x05458,10 AM - 9 PM,8,Available,None,35882,02-02-2024,February,943541,Brandon Sampson,910,2581,6,6194.4
Zudio,India,Maharashtra,Kolkata,Men,Hoodies,26,404610,Rented,27-12-2022,1300,Lori Morris,M39,"2006 Baker Plaza Suite 213 Smithhaven, WY 89474",001-666-518-4316x287,11 AM - 8 PM,9,Available,None,13270,16-07-2024,July,734952,Melissa Rowland,639,1457,5,2914
Zudio,India,Uttar Pradesh,Nashik,Men,Jackets,90,411552,Rented,10-12-2022,1000,Brian Ruiz,M31,"06314 Sanders Brook North Ginaton, SD 13921",535-871-6788,10 AM - 9 PM,11,Available,None,84854,22-07-2024,July,151454,Thomas Lin,878,2839,1,1135.6
Zudio,India,Maharashtra,Faridabad,Kids,Pants,5,408436,Rented,11-06-2020,1200,Elizabeth Walker,M18,"34937 Anthony Point Suite 869 North Brian, NH 34324",001-190-519-8370x89059,10 AM - 9 PM,3,Not Available,Alarm,97711,17-05-2024,May,716554,Bruce Leonard,740,2592,5,5184
Zudio,India,Gujarat,Noida,Kids,Skirts,74,425684,Owned,03-10-2021,1200,Donald Walker,M11,"638 Doris Ridge Suite 116 Michelleberg, SD 06720",+1-579-715-4264x6243,10 AM - 9 PM,19,Available,CCTV,30037,20-05-2024,May,806957,Tracey Barnes,255,642,8,2054.4
Zudio,India,Tamil Nadu,Madurai,Kids,Sweaters,75,428065,Owned,29-07-2022,1000,Emily Whitehead,M56,"21285 John Ferry Suite 641 Amyside, IN 46086",+1-681-005-5756x68861,11 AM - 8 PM,5,Not Available,Alarm,97353,26-10-2024,October,512228,Cindy Ramirez,963,2875,2,2300
Zudio,India,Rajasthan,Noida,Women,Dresses,4,424740,Rented,13-10-2020,1000,Heather Pollard,M96,"240 Rojas Neck Rogerfurt, TN 47231",001-515-517-6493x78873,11 AM - 8 PM,4,Available,CCTV,10924,19-03-2024,March,344298,Courtney Morris,372,2922,8,9350.4
Zudio,India,Maharashtra,Chhattisgarh,Men,Pants,29,404159,Owned,22-05-2020,950,Donna Cantrell,M86,"24816 Adams Plaza Leslieshire, NM 27165",001-318-326-8652x65339,10 AM - 7 PM,19,Not Available,Alarm,89515,09-11-2024,November,907479,Sean Taylor,342,2087,8,6678.4
Zudio,India,Rajasthan,Bengaluru,Women,Hoodies,43,423063,Owned,20-01-2021,1400,Sandra Burns,M75,"468 Courtney Trail Apt. 647 Dominiqueside, SD 35375",4312762356,11 AM - 8 PM,8,Available,"CCTV, Alarm",76134,19-07-2024,July,908342,Shannon Kelly,895,2299,3,2758.8
